name,ra_deg,dec_deg,vmag,bv
HR,192.6717,-33.9994,4.91,-0.04
6    Boo,207.4283,21.2642,4.91,1.43
HR,212.7104,-16.3019,4.91,1.72
Eta Aps,214.5575,-81.0078,4.91,0.25
1    Lup,228.6554,-31.5192,4.91,0.37
Zet TrA,247.1171,-70.0844,4.91,0.55
60    Her,256.3446,12.7408,4.91,0.12
69    Aql,307.4125,-2.8856,4.91,1.15
30    Vul,311.2188,25.2706,4.91,1.18
HR,329.1629,63.6256,4.91,1.77
HR,352.5083,58.5489,4.91,-0.12
20    Mon,107.5571,-4.2372,4.92,1.03
HR,134.2433,-59.2294,4.92,-0.19
HR,198.5617,-59.1033,4.92,0.48
HR,198.4292,40.1528,4.92,1.06
HR,215.6542,-58.4594,4.92,0.86
HR,221.2467,-35.1919,4.92,0.01
19Del Lib,225.2433,-8.5189,4.92,0.00
8Bet2Sco,241.3604,-19.8019,4.92,-0.02
HR,283.3067,50.7083,4.92,0.90
24Psi Cyg,298.9075,52.4389,4.92,0.12
HR,311.7950,34.3742,4.92,1.32
15Tau PsA,332.5367,-32.5483,4.92,0.48
24    Per,44.7654,35.1831,4.93,1.23
Del Hor,62.7108,-41.9936,4.93,0.33
54    Per,65.1025,34.5667,4.93,0.94
17    Lep,91.2462,-16.4844,4.93,0.24
HR,99.6567,-48.2203,4.93,0.87
HR,105.9737,-49.5839,4.93,0.13
27    Mon,119.9338,-3.6797,4.93,1.21
HR,132.4487,-45.3081,4.93,0.05
HR,157.7583,-73.2217,4.93,1.68
HR,190.4858,-59.6858,4.93,-0.04
78    UMa,195.1825,56.3664,4.93,0.36
45    Boo,226.8254,24.8692,4.93,0.43
15Lam Lyr,285.0038,32.1456,4.93,1.47
Gam CrA,286.6046,-37.0633,4.93,0.52
28    Cyg,302.3567,36.8397,4.93,-0.13
78    Peg,355.9979,29.3617,4.93,0.95
20Pi  Cas,10.8671,47.0247,4.94,0.18
53Tau And,25.1450,40.5769,4.94,-0.09
6    Tri,33.0929,30.3031,4.94,0.78
50Ome2Tau,64.3150,20.5786,4.94,0.26
4Ome Aur,74.8142,37.8903,4.94,0.04
109    Tau,79.8192,22.0964,4.94,0.93
HR,113.9154,-52.5339,4.94,1.40
HR,115.0967,-15.2636,4.94,1.56
Chi Gem,120.8796,27.7942,4.94,1.12
HR,138.9029,-38.5700,4.94,1.11
HR,145.5600,-23.9156,4.94,0.53
HR,148.7175,-19.0094,4.94,1.57
Chi1Hya,166.3329,-27.2936,4.94,0.36
HR,175.2233,-62.0900,4.94,1.15
6    Dra,188.6833,70.0219,4.94,1.31
